Year,Month,Group,Unit,Inflation Deflator,Adult Population,Working Age Population,Household Population,Real Total Factor Income,Real Factor Income Share,Real Factor Income Per Unit Growth,Real Factor Income Per Unit
1976,1,Top 10%,Adults,0.23993444,14243176.65,11955797.69,9463453.921,2.22E+12,0.341223192,0,156174.438
1976,2,Top 10%,Adults,0.24025238,14268405.5,11976974.95,9480216.487,2.24E+12,0.341850024,0.007196005,157298.27
1976,3,Top 10%,Adults,0.24077073,14295897.44,12000051.85,9498482.697,2.25E+12,0.342188567,0.008768186,157543.8045
1976,4,Top 10%,Adults,0.24162138,14323613.48,12023316.88,9516897.807,2.25E+12,0.341178046,0.0054887,157031.6326
1976,5,Top 10%,Adults,0.24285275,14350194.31,12045629,9534558.661,2.25E+12,0.340863719,0.00296989,156638.2589
1976,6,Top 10%,Adults,0.24374177,14374559.08,12066080.94,9550747.119,2.25E+12,0.341481862,0.004184917,156828.0151
1976,7,Top 10%,Adults,0.24457005,14397789.07,12085580.34,9566181.602,2.27E+12,0.341551037,0.007369523,157325.369
1976,8,Top 10%,Adults,0.24577188,14420422.77,12104579.21,9581219.896,2.27E+12,0.341725438,0.009292374,157625.6692
1976,9,Top 10%,Adults,0.24727948,14442054.69,12122737.18,9595592.589,2.27E+12,0.341669558,0.007044674,157274.6359
1976,10,Top 10%,Adults,0.24896811,14464683.94,12141732.33,9610627.936,2.26E+12,0.341102968,0.000530882,156257.3481
1976,11,Top 10%,Adults,0.25026855,14488298.9,12161554.88,9626318.203,2.27E+12,0.340774294,0.003677453,156748.7622
1976,12,Top 10%,Adults,0.25161788,14512224.98,12181638.58,9642215.184,2.28E+12,0.34063335,0.005534375,157038.7658
1977,1,Top 10%,Adults,0.2528069,14537248.24,12202263.64,9668123.91,2.28E+12,0.340845346,0.005176162,156982.8222
1977,2,Top 10%,Adults,0.25453672,14564264.1,12224561.08,9695362.06,2.30E+12,0.341659642,0.010077921,157748.3516
1977,3,Top 10%,Adults,0.25560036,14593515.43,12248734.59,9724095.231,2.33E+12,0.342528635,0.020374663,159356.4395
1977,4,Top 10%,Adults,0.25689629,14622522.41,12272702.69,9752673.704,2.35E+12,0.343842252,0.03104121,161022.2816
1977,5,Top 10%,Adults,0.25789505,14649871.29,12295278.85,9780153.156,2.38E+12,0.344320656,0.039804709,162390.9161
1977,6,Top 10%,Adults,0.25891182,14675581.19,12316479.26,9806543.21,2.40E+12,0.344668893,0.046453714,163429.3206
1977,7,Top 10%,Adults,0.25971621,14699287.54,12335998.09,9831596.906,2.43E+12,0.34589139,0.057165808,165102.276
