Year,Month,Group,Unit,Inflation Deflator,Real Total Wealth,Real Wealth Share,Real Wealth Per Unit Growth,Real Wealth Per Unit
1976,1,Total,Adults,0.23548606,18000000000000,1,0,126316.8782
1976,2,Total,Adults,0.23579809,18200000000000,1,0.010522937,127646.1027
1976,3,Total,Adults,0.23630685,18400000000000,1,0.019818408,128820.2776
1976,4,Total,Adults,0.23714171,18600000000000,1,0.027414315,129779.7688
1976,5,Total,Adults,0.23835027,18700000000000,1,0.032307435,130397.8525
1976,6,Total,Adults,0.23922279,18800000000000,1,0.036425615,130918.0481
1976,7,Total,Adults,0.24003571,18900000000000,1,0.03776135,131086.774
1976,8,Total,Adults,0.24121529,18900000000000,1,0.036621205,130942.7545
1976,9,Total,Adults,0.24269493,18900000000000,1,0.03541661,130790.5938
1976,10,Total,Adults,0.24435225,18900000000000,1,0.036605919,130940.8235
1976,11,Total,Adults,0.24562857,19000000000000,1,0.039991434,131368.4712
1976,12,Total,Adults,0.24695289,19100000000000,1,0.041624915,131574.8075
1977,1,Total,Adults,0.24811985,19100000000000,1,0.039972457,131366.0742
1977,2,Total,Adults,0.24981761,19000000000000,1,0.035038577,130742.8418
1977,3,Total,Adults,0.25086153,19100000000000,1,0.033914387,130600.8376
1977,4,Total,Adults,0.25213343,19100000000000,1,0.035964939,130859.857
1977,5,Total,Adults,0.25311369,19300000000000,1,0.041053385,131502.6136
1977,6,Total,Adults,0.25411159,19400000000000,1,0.045856714,132109.3551
1977,7,Total,Adults,0.25490108,19500000000000,1,0.049116034,132521.0623
1977,8,Total,Adults,0.25608951,19500000000000,1,0.049759542,132602.3482
1977,9,Total,Adults,0.25759926,19500000000000,1,0.049047045,132512.3478
1977,10,Total,Adults,0.25989339,19500000000000,1,0.046091024,132138.9524
1977,11,Total,Adults,0.26198095,19500000000000,1,0.044332973,131916.881
1977,12,Total,Adults,0.26332238,19600000000000,1,0.045406543,132052.491
1978,1,Total,Adults,0.26442829,19600000000000,1,0.046958381,132248.5143
1978,2,Total,Adults,0.26533341,19700000000000,1,0.049669784,132591.0102
1978,3,Total,Adults,0.26686516,19800000000000,1,0.051379099,132806.9255
1978,4,Total,Adults,0.26883399,19900000000000,1,0.053697484,133099.7767
1978,5,Total,Adults,0.27067769,20000000000000,1,0.058195995,133668.0145
1978,6,Total,Adults,0.27234772,20100000000000,1,0.064437651,134456.4411
1978,7,Total,Adults,0.27372399,20300000000000,1,0.072239182,135441.9062
1978,8,Total,Adults,0.27510703,20500000000000,1,0.079074011,136305.2604
1978,9,Total,Adults,0.27679485,20600000000000,1,0.082575554,136747.5643
1978,10,Total,Adults,0.27923843,20600000000000,1,0.079479257,136356.4498
1978,11,Total,Adults,0.28097194,20600000000000,1,0.078071093,136178.5749
1978,12,Total,Adults,0.28232023,20600000000000,1,0.080131986,136438.9005
1979,1,Total,Adults,0.28437737,20800000000000,1,0.084710205,137017.2069
1979,2,Total,Adults,0.2857486,21000000000000,1,0.093780209,138162.9014
1979,3,Total,Adults,0.28775164,21100000000000,1,0.100515021,139013.6218
1979,4,Total,Adults,0.29043832,21200000000000,1,0.102306331,139239.8945
1979,5,Total,Adults,0.29315874,21300000000000,1,0.102740365,139294.7204
1979,6,Total,Adults,0.29530832,21300000000000,1,0.105066913,139588.6026
1979,7,Total,Adults,0.29731929,21400000000000,1,0.10905028,140091.7691
1979,8,Total,Adults,0.29927298,21600000000000,1,0.113892888,140703.4723
1979,9,Total,Adults,0.3015084,21700000000000,1,0.118058897,141229.7094
1979,10,Total,Adults,0.30347419,21800000000000,1,0.122628863,141806.9733
1979,11,Total,Adults,0.304856,21900000000000,1,0.12774257,142452.9209
1979,12,Total,Adults,0.30644614,22000000000000,1,0.129639643,142692.5531
1980,1,Total,Adults,0.30842856,22000000000000,1,0.126994773,142358.4615
1980,2,Total,Adults,0.31101426,21900000000000,1,0.12209761,141739.8672
1980,3,Total,Adults,0.31455171,21900000000000,1,0.11637741,141017.3094
1980,4,Total,Adults,0.31641608,22000000000000,1,0.120687079,141561.6932
1980,5,Total,Adults,0.31893978,22200000000000,1,0.126553827,142302.7625
1980,6,Total,Adults,0.32085747,22400000000000,1,0.136100813,143508.7079
1980,7,Total,Adults,0.32308891,22600000000000,1,0.145160245,144653.0672
1980,8,Total,Adults,0.32569548,22800000000000,1,0.152925345,145633.9304
1980,9,Total,Adults,0.32880035,22900000000000,1,0.15827562,146309.7604
1980,10,Total,Adults,0.3317132,23000000000000,1,0.16229509,146817.4873
1980,11,Total,Adults,0.33457047,23100000000000,1,0.164115186,147047.3961
1980,12,Total,Adults,0.33677259,23100000000000,1,0.164831867,147137.9251
1981,1,Total,Adults,0.3399145,23000000000000,1,0.158866672,146384.4203
1981,2,Total,Adults,0.34344265,22900000000000,1,0.150777529,145362.625
1981,3,Total,Adults,0.34610978,22900000000000,1,0.14711863,144900.4443
1981,4,Total,Adults,0.34809127,23000000000000,1,0.149749323,145232.7452
1981,5,Total,Adults,0.35004267,23100000000000,1,0.153346834,145687.1716
1981,6,Total,Adults,0.35174221,23200000000000,1,0.155115552,145910.5905
1981,7,Total,Adults,0.35409373,23100000000000,1,0.148922119,145128.2553
1981,8,Total,Adults,0.35655198,22900000000000,1,0.140945621,144120.689
1981,9,Total,Adults,0.35897553,22900000000000,1,0.136009324,143497.1513
1981,10,Total,Adults,0.36088338,23000000000000,1,0.139433543,143929.6881
1981,11,Total,Adults,0.36300915,23100000000000,1,0.145281501,144668.3839
1981,12,Total,Adults,0.36421391,23300000000000,1,0.152084496,145527.717
1982,1,Total,Adults,0.36635953,23300000000000,1,0.151699651,145479.1045
1982,2,Total,Adults,0.36766842,23300000000000,1,0.150060866,145272.0982
1982,3,Total,Adults,0.36905912,23300000000000,1,0.146654923,144841.8702
1982,4,Total,Adults,0.36992314,23300000000000,1,0.144724265,144597.9956
1982,5,Total,Adults,0.37242505,23200000000000,1,0.139545522,143943.8329
1982,6,Total,Adults,0.37507802,23200000000000,1,0.136412217,143548.0436
1982,7,Total,Adults,0.37687317,23200000000000,1,0.138531325,143815.7227
1982,8,Total,Adults,0.37775585,23400000000000,1,0.144360442,144552.0385
1982,9,Total,Adults,0.37864813,23500000000000,1,0.151335043,145433.0484
1982,10,Total,Adults,0.38076234,23700000000000,1,0.155697378,145984.0849
1982,11,Total,Adults,0.38186362,23800000000000,1,0.162914992,146895.7913
1982,12,Total,Adults,0.38237906,24100000000000,1,0.172084558,148054.0624
1983,1,Total,Adults,0.38408047,24200000000000,1,0.178947065,148920.9128
1983,2,Total,Adults,0.38460842,24500000000000,1,0.188637129,150144.9314
1983,3,Total,Adults,0.38495171,24700000000000,1,0.198671816,151412.4818
1983,4,Total,Adults,0.38651639,24900000000000,1,0.205722255,152303.0713
1983,5,Total,Adults,0.38732737,25100000000000,1,0.213292048,153259.2638
1983,6,Total,Adults,0.38838661,25200000000000,1,0.218315793,153893.8475
1983,7,Total,Adults,0.39008537,25300000000000,1,0.218619991,153932.2729
1983,8,Total,Adults,0.39154163,25300000000000,1,0.217133702,153744.5295
1983,9,Total,Adults,0.39294979,25200000000000,1,0.214070127,153357.5483
1983,10,Total,Adults,0.39394322,25200000000000,1,0.211134152,152986.6851
1983,11,Total,Adults,0.39465746,25200000000000,1,0.209155627,152736.764
1983,12,Total,Adults,0.39488652,25200000000000,1,0.209790893,152817.0089
1984,1,Total,Adults,0.39645806,25200000000000,1,0.208762572,152687.1145
1984,2,Total,Adults,0.3989473,25200000000000,1,0.206318294,152378.361
1984,3,Total,Adults,0.4000617,25300000000000,1,0.207252899,152496.4173
1984,4,Total,Adults,0.40135273,25300000000000,1,0.20643878,152393.5804
1984,5,Total,Adults,0.40177459,25400000000000,1,0.208463151,152649.2926
1984,6,Total,Adults,0.40255591,25500000000000,1,0.212031637,153100.0526
1984,7,Total,Adults,0.40420943,25600000000000,1,0.217910197,153842.6139
1984,8,Total,Adults,0.40569067,25800000000000,1,0.226006895,154865.3636
1984,9,Total,Adults,0.40650314,26000000000000,1,0.23501495,156003.233
1984,10,Total,Adults,0.40774974,26100000000000,1,0.240380765,156681.0259
1984,11,Total,Adults,0.40837923,26300000000000,1,0.24604583,157396.6193
1984,12,Total,Adults,0.40936795,26400000000000,1,0.251414753,158074.8049
1985,1,Total,Adults,0.41102764,26600000000000,1,0.257535968,158848.0177
1985,2,Total,Adults,0.41261235,26800000000000,1,0.2651549,159810.4174
1985,3,Total,Adults,0.41397426,27000000000000,1,0.273726024,160893.095
1985,4,Total,Adults,0.4143995,27300000000000,1,0.284114108,162205.2854
1985,5,Total,Adults,0.41516173,27500000000000,1,0.292092208,163213.0541
1985,6,Total,Adults,0.41602433,27600000000000,1,0.296462249,163765.064
1985,7,Total,Adults,0.41674331,27600000000000,1,0.296174282,163728.6889
1985,8,Total,Adults,0.41789889,27600000000000,1,0.294741732,163547.7336
1985,9,Total,Adults,0.41845655,27700000000000,1,0.300269231,164245.9501
1985,10,Total,Adults,0.41908377,28100000000000,1,0.315721092,166197.7809
1985,11,Total,Adults,0.42003384,28600000000000,1,0.335959771,168754.2677
1985,12,Total,Adults,0.42099044,29000000000000,1,0.356652425,171368.0992
1986,1,Total,Adults,0.42226273,29400000000000,1,0.372400824,173357.3877
1986,2,Total,Adults,0.42222738,29800000000000,1,0.387640455,175282.4103
1986,3,Total,Adults,0.42189407,30100000000000,1,0.401513274,177034.7815
1986,4,Total,Adults,0.42223433,30400000000000,1,0.412618613,178437.5732
1986,5,Total,Adults,0.42364988,30500000000000,1,0.418468399,179176.5
1986,6,Total,Adults,0.42528737,30600000000000,1,0.419719307,179334.5107
1986,7,Total,Adults,0.42488566,30700000000000,1,0.421911664,179611.4424
1986,8,Total,Adults,0.42511165,30700000000000,1,0.420908047,179484.6686
1986,9,Total,Adults,0.42639682,30700000000000,1,0.420308663,179408.9564
1986,10,Total,Adults,0.42726845,30900000000000,1,0.428853091,180488.2618
1986,11,Total,Adults,0.42791221,31200000000000,1,0.44391874,182391.3076
1986,12,Total,Adults,0.42815411,31700000000000,1,0.46387918,184912.648
1987,1,Total,Adults,0.42958984,32200000000000,1,0.484537762,187522.1756
1987,2,Total,Adults,0.43060073,32600000000000,1,0.504578913,190053.7112
1987,3,Total,Adults,0.43129873,33000000000000,1,0.519740405,191968.8637
1987,4,Total,Adults,0.43253613,33100000000000,1,0.524400931,192557.5668
1987,5,Total,Adults,0.43329144,33200000000000,1,0.527119695,192900.9924
1987,6,Total,Adults,0.43461797,33300000000000,1,0.530171709,193286.5134
1987,7,Total,Adults,0.43532372,33600000000000,1,0.542338709,194823.4108
1987,8,Total,Adults,0.43681854,33800000000000,1,0.551800397,196018.5817
1987,9,Total,Adults,0.43813002,33900000000000,1,0.552676061,196129.1929
1987,10,Total,Adults,0.43943042,33600000000000,1,0.537158282,194169.0355
1987,11,Total,Adults,0.44023168,33200000000000,1,0.517800541,191723.826
1987,12,Total,Adults,0.44105533,32900000000000,1,0.503725961,189945.969
1988,1,Total,Adults,0.44284281,32900000000000,1,0.503673358,189939.3243
1988,2,Total,Adults,0.4434357,33300000000000,1,0.517078673,191632.642
1988,3,Total,Adults,0.44479254,33600000000000,1,0.531115901,193405.7808
1988,4,Total,Adults,0.4466542,33800000000000,1,0.539271492,194435.9695
1988,5,Total,Adults,0.44776857,34000000000000,1,0.546290593,195322.6005
1988,6,Total,Adults,0.44961298,34100000000000,1,0.548036347,195543.1187
1988,7,Total,Adults,0.45184761,34100000000000,1,0.545977771,195283.0857
1988,8,Total,Adults,0.45311919,34100000000000,1,0.546992869,195411.3098
1988,9,Total,Adults,0.45512605,34100000000000,1,0.547913269,195527.5718
1988,10,Total,Adults,0.45628276,34300000000000,1,0.555560289,196493.5195
1988,11,Total,Adults,0.45712474,34600000000000,1,0.565897465,197799.2793
1988,12,Total,Adults,0.45843628,34800000000000,1,0.574726772,198914.5698
