year,month,date_full,date_short,group,unit,inflation_deflator,real_total_wealth,real_wealth_share,real_wealth_per_unit_growth,real_wealth_per_unit,real_wealth_growth_rate_per_unit_to_previous_period,real_wealth_growth_factor_per_unit_indexed,real_wealth_growth_rate_per_unit_indexed
1976,1,01/01/1976,01/1976,Bottom 50%,adult,0.23548606,1.7951E+11,0.009977442,0,2520.638756,0,1,0
1976,2,01/02/1976,02/1976,Bottom 50%,adult,0.23579809,1.90569E+11,0.010463299,0.059730863,2671.198685,0.059730863,1.059730863,0.059730863
1976,3,01/03/1976,03/1976,Bottom 50%,adult,0.23630685,2.00262E+11,0.010874343,0.111492768,2801.671748,0.111492768,1.111492768,0.111492768
1976,4,01/04/1976,04/1976,Bottom 50%,adult,0.23714171,2.0639E+11,0.011102708,0.143287055,2881.813661,0.143287055,1.143287055,0.143287055
1976,5,01/05/1976,05/1976,Bottom 50%,adult,0.23835027,2.08623E+11,0.011148926,0.153513971,2907.592021,0.153513971,1.153513971,0.153513971
1976,6,01/06/1976,06/1976,Bottom 50%,adult,0.23922279,2.08389E+11,0.011073413,0.150271606,2899.419189,0.150271606,1.150271606,0.150271606
1976,7,01/07/1976,07/1976,Bottom 50%,adult,0.24003571,2.05333E+11,0.010879366,0.131571096,2852.281961,0.131571096,1.131571096,0.131571096
1976,8,01/08/1976,08/1976,Bottom 50%,adult,0.24121529,2.00318E+11,0.010608643,0.102200739,2778.249901,0.102200739,1.102200739,0.102200739
1976,9,01/09/1976,09/1976,Bottom 50%,adult,0.24269493,1.95055E+11,0.010326453,0.071635461,2701.205877,0.071635461,1.071635461,0.071635461
1976,10,01/10/1976,10/1976,Bottom 50%,adult,0.24435225,1.91298E+11,0.010100133,0.049352853,2645.03947,0.049352853,1.049352853,0.049352853
1976,11,01/11/1976,11/1976,Bottom 50%,adult,0.24562857,1.90093E+11,0.009987517,0.041041513,2624.089585,0.041041513,1.041041513,0.041041513
1976,12,01/12/1976,12/1976,Bottom 50%,adult,0.24695289,1.90509E+11,0.009977227,0.041602403,2625.503385,0.041602403,1.041602403,0.041602403
1977,1,01/01/1977,01/1977,Bottom 50%,adult,0.24811985,1.93392E+11,0.010126802,0.055540509,2660.636315,0.055540509,1.055540509,0.055540509
1977,2,01/02/1977,02/1977,Bottom 50%,adult,0.24981761,1.96561E+11,0.010322647,0.070849331,2699.224327,0.070849331,1.070849331,0.070849331
1977,3,01/03/1977,03/1977,Bottom 50%,adult,0.25086153,2.00031E+11,0.010495212,0.087568309,2741.366831,0.087568309,1.087568309,0.087568309
1977,4,01/04/1977,04/1977,Bottom 50%,adult,0.25213343,2.01958E+11,0.010554387,0.095869512,2762.291163,0.095869512,1.095869512,0.095869512
1977,5,01/05/1977,05/1977,Bottom 50%,adult,0.25311369,2.03121E+11,0.010543535,0.100119862,2773.004762,0.100119862,1.100119862,0.100119862
1977,6,01/06/1977,06/1977,Bottom 50%,adult,0.25411159,2.0285E+11,0.010462735,0.096726131,2764.450391,0.096726131,1.096726131,0.096726131
1977,7,01/07/1977,07/1977,Bottom 50%,adult,0.25490108,2.01557E+11,0.010347037,0.087978425,2742.400583,0.087978425,1.087978425,0.087978425
1977,8,01/08/1977,08/1977,Bottom 50%,adult,0.25608951,1.9891E+11,0.010190411,0.072166631,2702.544764,0.072166631,1.072166631,0.072166631
