year,month,date_full,date_short,group,unit,inflation_deflator,real_total_wealth,real_wealth_share,real_wealth_per_unit_growth,real_wealth_per_unit,real_wealth_growth_rate_per_unit_to_previous_period,real_wealth_growth_factor_per_unit_indexed,real_wealth_growth_rate_per_unit_indexed,variance_real_wealth
1976,1,01/01/1976,Jan-76,Top 1%,adult,0.23548606,4.06E+12,0.225420584,0,2847442.441,0,1,0,19467136217
1976,1,01/01/1976,Jan-76,Top 10%-1%,adult,0.23548606,7.70E+12,0.42770533,0,600293.3559,0,1,0,865205423.7
1976,1,01/01/1976,Jan-76,Middle 40%,adult,0.23548606,6.06E+12,0.336896651,0,106389.3332,0,1,0,27176175.22
1976,1,01/01/1976,Jan-76,Bottom 50%,adult,0.23548606,1.80E+11,0.009977442,0,2520.638756,0,1,0,15255.041
1976,2,01/02/1976,Feb-76,Top 1%,adult,0.23579809,4.12E+12,0.22600765,0.013154658,2884899.573,0.013154658,1.013154658,0.013154658,19982671950
1976,2,01/02/1976,Feb-76,Top 10%-1%,adult,0.23579809,7.78E+12,0.427210935,0.009354851,605909.0106,0.009354851,1.009354851,0.009354851,881468875.7
1976,2,01/02/1976,Feb-76,Middle 40%,adult,0.23579809,6.13E+12,0.336318117,0.00878762,107324.2423,0.00878762,1.00878762,0.00878762,27655901.63
1976,2,01/02/1976,Feb-76,Bottom 50%,adult,0.23579809,1.91E+11,0.010463299,0.059730863,2671.198685,0.059730863,1.059730863,0.059730863,17131.86109
1976,3,01/03/1976,Mar-76,Top 1%,adult,0.23630685,4.17E+12,0.22636664,0.024098432,2916061.339,0.024098432,1.024098432,0.024098432,20416696371
1976,3,01/03/1976,Mar-76,Top 10%-1%,adult,0.23630685,7.86E+12,0.426779592,0.017611085,610865.173,0.017611085,1.017611085,0.017611085,895948179.3
1976,3,01/03/1976,Mar-76,Middle 40%,adult,0.23630685,6.19E+12,0.335979422,0.017041867,108202.4061,0.017041867,1.017041867,0.017041867,28110333.41
1976,3,01/03/1976,Mar-76,Bottom 50%,adult,0.23630685,2.00E+11,0.010874343,0.111492768,2801.671748,0.111492768,1.111492768,0.111492768,18846.32436
1976,4,01/04/1976,Apr-76,Top 1%,adult,0.23714171,4.21E+12,0.226325875,0.031540422,2937251.978,0.031540422,1.031540422,0.031540422,20714505492
1976,4,01/04/1976,Apr-76,Top 10%-1%,adult,0.23714171,7.93E+12,0.426402558,0.024284856,614871.3936,0.024284856,1.024284856,0.024284856,907738460.3
1976,4,01/04/1976,Apr-76,Middle 40%,adult,0.23714171,6.25E+12,0.336168859,0.025194808,109069.7921,0.025194808,1.025194808,0.025194808,28562823.12
1976,4,01/04/1976,Apr-76,Bottom 50%,adult,0.23714171,2.06E+11,0.011102708,0.143287055,2881.813661,0.143287055,1.143287055,0.143287055,19939.9448
1976,5,01/05/1976,May-76,Top 1%,adult,0.23835027,4.23E+12,0.22607454,0.035302211,2947963.454,0.035302211,1.035302211,0.035302211,20865862955
1976,5,01/05/1976,May-76,Top 10%-1%,adult,0.23835027,7.97E+12,0.426180124,0.028626206,617477.4772,0.028626206,1.028626206,0.028626206,915449522.2
1976,5,01/05/1976,May-76,Middle 40%,adult,0.23835027,6.30E+12,0.336596415,0.031387459,109728.6241,0.031387459,1.031387459,0.031387459,28908930.62
1976,5,01/05/1976,May-76,Bottom 50%,adult,0.23835027,2.09E+11,0.011148926,0.153513971,2907.592021,0.153513971,1.153513971,0.153513971,20298.27336
1976,6,01/06/1976,Jun-76,Top 1%,adult,0.23922279,4.25E+12,0.225856583,0.038430229,2956870.305,0.038430229,1.038430229,0.038430229,20992139880
1976,6,01/06/1976,Jun-76,Top 10%-1%,adult,0.23922279,8.02E+12,0.426091808,0.032515692,619812.3098,0.032515692,1.032515692,0.032515692,922385685.9
1976,6,01/06/1976,Jun-76,Middle 40%,adult,0.23922279,6.34E+12,0.3369782,0.03667649,110291.3205,0.03667649,1.03667649,0.03667649,29206185.07
1976,6,01/06/1976,Jun-76,Bottom 50%,adult,0.23922279,2.08E+11,0.011073413,0.150271606,2899.419189,0.150271606,1.150271606,0.150271606,20184.32256
1976,7,01/07/1976,Jul-76,Top 1%,adult,0.24003571,4.26E+12,0.225797935,0.039498548,2959912.281,0.039498548,1.039498548,0.039498548,21035354792
1976,7,01/07/1976,Jul-76,Top 10%-1%,adult,0.24003571,8.04E+12,0.426249345,0.034228627,620840.5732,0.034228627,1.034228627,0.034228627,925448684.6
1976,7,01/07/1976,Jul-76,Middle 40%,adult,0.24003571,6.36E+12,0.337073359,0.038305672,110464.6482,0.038305672,1.038305672,0.038305672,29298054.82
1976,7,01/07/1976,Jul-76,Bottom 50%,adult,0.24003571,2.05E+11,0.010879366,0.131571096,2852.281961,0.131571096,1.131571096,0.131571096,19533.36524
1976,8,01/08/1976,Aug-76,Top 1%,adult,0.24121529,4.27E+12,0.22594804,0.039046772,2958625.875,0.039046772,1.039046772,0.039046772,21017074437
1976,8,01/08/1976,Aug-76,Top 10%-1%,adult,0.24121529,8.05E+12,0.426495953,0.033690061,620517.2754,0.033690061,1.033690061,0.033690061,924485095.6
1976,8,01/08/1976,Aug-76,Middle 40%,adult,0.24121529,6.36E+12,0.336947357,0.036777226,110302.0377,0.036777226,1.036777226,0.036777226,29211861.41
1976,8,01/08/1976,Aug-76,Bottom 50%,adult,0.24121529,2.00E+11,0.010608643,0.102200739,2778.249901,0.102200739,1.102200739,0.102200739,18532.5327
1976,9,01/09/1976,Sep-76,Top 1%,adult,0.24269493,4.27E+12,0.226189132,0.038946757,2958341.089,0.038946757,1.038946757,0.038946757,21013028584
1976,9,01/09/1976,Sep-76,Top 10%-1%,adult,0.24269493,8.06E+12,0.426755825,0.033117988,620173.8638,0.033117988,1.033117988,0.033117988,923462107
1976,9,01/09/1976,Sep-76,Middle 40%,adult,0.24269493,6.36E+12,0.336728593,0.034900099,110102.3314,0.034900099,1.034900099,0.034900099,29106178.65
1976,9,01/09/1976,Sep-76,Bottom 50%,adult,0.24269493,1.95E+11,0.010326453,0.071635461,2701.205877,0.071635461,1.071635461,0.071635461,17518.92817
1976,10,01/10/1976,Oct-76,Top 1%,adult,0.24435225,4.29E+12,0.226484881,0.041500133,2965611.681,0.041500133,1.041500133,0.041500133,21116441198
1976,10,01/10/1976,Oct-76,Top 10%-1%,adult,0.24435225,8.09E+12,0.426900813,0.034656056,621097.1563,0.034656056,1.034656056,0.034656056,926213787.7
1976,10,01/10/1976,Oct-76,Middle 40%,adult,0.24435225,6.37E+12,0.336514172,0.035429058,110158.6071,0.035429058,1.035429058,0.035429058,29135939.84
1976,10,01/10/1976,Oct-76,Bottom 50%,adult,0.24435225,1.91E+11,0.010100133,0.049352853,2645.03947,0.049352853,1.049352853,0.049352853,16797.95735
1976,11,01/11/1976,Nov-76,Top 1%,adult,0.24562857,4.31E+12,0.226649391,0.04566061,2977458.4,0.04566061,1.04566061,0.04566061,21285485710
1976,11,01/11/1976,Nov-76,Top 10%-1%,adult,0.24562857,8.13E+12,0.426895561,0.038022433,623117.9699,0.038022433,1.038022433,0.038022433,932250686.6
1976,11,01/11/1976,Nov-76,Middle 40%,adult,0.24562857,6.40E+12,0.336467525,0.038666731,110503.0609,0.038666731,1.038666731,0.038666731,29318434.46
1976,11,01/11/1976,Nov-76,Bottom 50%,adult,0.24562857,1.90E+11,0.009987517,0.041041513,2624.089585,0.041041513,1.041041513,0.041041513,16532.9166
1976,12,01/12/1976,Dec-76,Top 1%,adult,0.24695289,4.32E+12,0.22641351,0.046213034,2979031.394,0.046213034,1.046213034,0.046213034,21307981947
1976,12,01/12/1976,Dec-76,Top 10%-1%,adult,0.24695289,8.15E+12,0.426873876,0.039600009,624064.9784,0.039600009,1.039600009,0.039600009,935086490.6
